,name,lat,lon,Total Amount of 30 day fills for opioids
103,FONTANA,34.0922335,-117.435048,69167.3
104,AKRON,41.0830643,-81.5184854,59652.79999999999
105,YONKERS,40.9312099,-73.8987469,14712.1
106,MORENO VALLEY,33.937517,-117.23059440000002,18245.2
107,LITTLE ROCK,34.7464809,-92.2895948,164729.90000000002
108,COLUMBUS,39.9622601,-83.00070649999999,348272.50000000023
109,MOBILE,30.6943566,-88.04305409999999,195528.20000000013
110,AMARILLO,35.2072185,-101.83382459999999,76084.40000000001
111,HUNTINGTON BEACH,33.678123799999995,-118.0000112,19766.400000000005
112,GLENDALE,34.142345500000005,-118.24836709999998,130373.7000000001
113,GRAND RAPIDS,42.963240500000005,-85.66786390000001,162302.89999999994
114,SALT LAKE CITY,40.7670126,-111.89043079999999,105327.3
115,TALLAHASSEE,30.4380832,-84.2809332,71529.29999999999
116,HUNTSVILLE,34.577718,-86.83583561,156476.79999999993
117,KNOXVILLE,35.960394799999996,-83.92102609999999,242663.29999999987
118,NEWPORT NEWS,37.016827,-76.45051959999999,40627.499999999985
119,GRAND PRAIRIE,32.7459645,-96.99778459999999,3839.2
120,BROWNSVILLE,25.914025600000002,-97.4890856,34736.599999999984
121,PROVIDENCE,41.8239891,-71.4128343,43718.2
122,SANTA CLARITA,34.3916641,-118.54258600000001,5276.4000000000015
123,OVERLAND PARK,38.9822282,-94.6707917,59208.39999999997
124,JACKSON,32.29903839999999,-90.1847691,253468.3000000001
125,GARDEN GROVE,33.7746292,-117.9463717,17614.800000000007
126,CHATTANOOGA,35.0456297,-85.3096801,163003.3000000001
127,OCEANSIDE,33.1958696,-117.3794834,18669.699999999993
128,FORT LAUDERDALE,26.122308399999998,-80.14337859999999,35313.499999999985
129,RANCHO CUCAMONGA,34.1063989,-117.5931084,20038.6
130,PORT ST. LUCIE,27.2939333,-80.35032829999999,635.6
131,TEMPE,33.4144139,-111.90944740000002,21802.8
132,SPRINGFIELD,39.7989763,-89.6443688,370376.9
133,LANCASTER,40.038129999999995,-76.3056686,159315.00000000015
134,CAPE CORAL,26.6069232,-81.98026259999999,36407.2
135,PEMBROKE PINES,26.02322025,-80.34123892,35488.19999999998
136,EUGENE,44.0505054,-123.09505060000001,90849.19999999998
137,SIOUX FALLS,43.5499749,-96.700327,48987.79999999999
138,PEORIA,40.6938609,-89.5891008,99782.60000000003
139,SALEM,44.9391565,-123.033121,162012.5000000001
140,ELK GROVE,38.4087993,-121.37161780000001,20203.1
142,CORONA,40.7469593,-73.8601456,25671.000000000004
143,PALMDALE,34.5793131,-118.1171108,31504.5
144,SPRINGFIELD,39.7989763,-89.6443688,370376.9
145,SALINAS,36.6777078,-121.65601140000001,23634.09999999999
146,ROCKFORD,42.2713945,-89.09396600000001,82562.39999999997
147,PASADENA,34.14764520000001,-118.14447790000001,88700.20000000004
148,POMONA,34.0552886,-117.75227930000001,29252.1
149,JOLIET,41.525031,-88.0817252,35287.4
150,HAYWARD,37.6688205,-122.08079640000001,15791.4
151,TORRANCE,33.835849200000006,-118.34062879999999,46852.59999999996
152,KANSAS CITY,39.0844687,-94.5630298,174717.20000000007
153,ESCONDIDO,33.1216751,-117.08148490000002,26406.19999999999
154,BRIDGEPORT,41.1670412,-73.2048348,32798.899999999994
155,FORT COLLINS,40.5508527,-105.0668085,44116.10000000001
156,PATERSON,40.916765399999996,-74.171811,10272.2
157,SYRACUSE,43.0481221,-76.1474244,41430.7
158,LAKEWOOD,39.6246085,-105.0842039,84929.40000000001
159,SUNNYVALE,37.368830100000004,-122.03634960000001,15600.899999999998
160,HOLLYWOOD,34.102826799999995,-118.3299899,26099.199999999993
161,NAPERVILLE,41.772910700000004,-88.147867,23319.9
162,DAYTON,39.758947799999994,-84.1916069,127986.30000000002
163,CARY,35.788297299999996,-78.7811925,24133.5
164,MESQUITE,32.7666103,-96.59947199999999,30502.3
165,SAVANNAH,32.0835407,-81.0998342,113195.70000000006
166,ORANGE,33.750037799999994,-117.87049309999999,67734.60000000005
167,PASADENA,34.14764520000001,-118.14447790000001,88700.20000000004
168,MCKINNEY,33.197649600000005,-96.6154471,15552.6
169,FULLERTON,33.870821500000005,-117.9294165,32065.09999999999
170,CLARKSVILLE,38.2967791,-85.7602087,66429.09999999999
171,WARREN,40.844282799999995,-90.61684079999999,121679.80000000006
172,MCALLEN,26.154573000000003,-98.26072076,29684.399999999987
173,WEST VALLEY CITY,40.691613200000006,-112.00105009999999,11752.1
174,NEW HAVEN,41.3082138,-72.92505179999999,44466.49999999997
175,BELLEVUE,47.614421899999996,-122.1923372,44064.49999999999
176,STERLING HEIGHTS,42.5803122,-83.0302033,60338.89999999999
177,OLATHE,38.8843867,-94.81611269999999,20151.5
178,TOPEKA,39.0490111,-95.6775557,47070.49999999999
179,CEDAR RAPIDS,41.9758872,-91.6704053,37653.99999999999
180,THOUSAND OAKS,34.1705609,-118.83759369999999,17151.0
181,WACO,31.549333,-97.1466695,51512.8
182,ELIZABETH,40.6639916,-74.2107006,13015.6
183,VISALIA,36.330228399999996,-119.2920585,45541.49999999999
184,GAINESVILLE,29.651907,-82.3247976,180105.30000000022
185,HARTFORD,41.7634935,-72.68305229999999,39417.2
186,MIRAMAR,25.97591145,-80.33472113,14705.3
187,SIMI VALLEY,34.2694474,-118.78148200000001,11144.9
188,STAMFORD,41.0534302,-73.53873409999999,14463.0
189,CONCORD,43.207106,-71.53702159999999,74715.70000000003
190,CORAL SPRINGS,26.26485615,-80.26534189,18334.800000000007
191,FRISCO,35.2351765,-75.6284903,25101.3
192,CHARLESTON,32.7876012,-79.9402728,150305.3000000001
193,CARROLLTON,33.580110299999994,-85.0766113,70272.3
194,ROSEVILLE,38.72338,-121.18587820000002,85355.40000000005
195,LAFAYETTE,30.2240897,-92.0198427,182361.8000000002
196,THORNTON,39.95782075,-104.96698870000002,17174.3
197,EVANSVILLE,37.9747645,-87.5558483,114062.30000000006
198,DENTON,33.1728435,-97.05898636,26062.2
199,SURPRISE,33.6292271,-112.3680189,19787.6
200,ALLEN,37.888216799999995,-95.3170208,14692.1
201,ABILENE,32.446453399999996,-99.7333478,50490.80000000001
202,VICTORVILLE,34.536106700000005,-117.2911565,37197.4
203,SANTA CLARA,37.35411320000001,-121.95517439999999,13478.600000000002
204,BEAUMONT,30.0860459,-94.10184609999999,74538.9
205,SPRINGFIELD,39.7989763,-89.6443688,370376.9
206,VALLEJO,38.1040864,-122.25663670000002,21500.4
207,INDEPENDENCE,37.224235799999995,-95.7083131,43301.49999999999
208,PEORIA,40.6938609,-89.5891008,99782.60000000003
209,ANN ARBOR,42.268156899999994,-83.7312291,48004.0
210,PROVO,40.233843799999995,-111.6585337,28868.5
211,EL MONTE,34.0751571,-118.036849,5406.999999999999
212,LANSING,42.73377120000001,-84.5553805,76109.7
213,BERKELEY,37.8708393,-122.27286389999999,21451.200000000004
214,NORMAN,35.2225717,-97.4394816,32594.5
215,MIDLAND,43.6155825,-84.24721170000001,51692.49999999996
216,DOWNEY,33.9400143,-118.1325688,34671.500000000015
217,MURFREESBORO,35.915516499999995,-86.44469333,58183.4
218,COSTA MESA,33.6633386,-117.90331699999999,3812.900000000001
219,INGLEWOOD,33.9616801,-118.3531311,12419.000000000002
220,MIAMI GARDENS,25.94207545,-80.23975271,1627.3000000000004
221,WATERBURY,41.558152500000006,-73.0514966,24368.800000000007
222,ELGIN,42.0372487,-88.2811895,30793.599999999995
223,CLEARWATER,27.9658533,-82.8001026,103824.8
224,WILMINGTON,39.7459468,-75.546589,177563.30000000028
225,ROCHESTER,43.185475399999994,-77.61068605,182027.69999999995
227,CARLSBAD,33.158093300000004,-117.3505939,21657.0
228,FARGO,46.8772292,-96.78982099999999,35191.899999999994
229,ARVADA,39.802764399999994,-105.08748419999999,9249.8
230,LOWELL,42.633424700000006,-71.3161718,22252.7
231,GRESHAM,45.5067406,-122.4367058,18780.000000000007
232,PUEBLO,38.2544472,-104.60914100000001,62624.9
233,WEST COVINA,34.0686208,-117.93895259999998,10055.8
234,WEST JORDAN,40.6096698,-111.9391031,14094.9
235,FAIRFIELD,38.2493581,-122.03996629999999,76717.30000000003
236,NORWALK,41.1175966,-73.4078968,20881.5
237,HIGH POINT,35.9556924,-80.0053176,47795.099999999984
238,BILLINGS,45.78749570000001,-108.49606999999999,48589.89999999998
239,RICHMOND,37.53850870000001,-77.43428,178954.9000000003
240,MURRIETA,33.560832,-117.2106564,35311.899999999994
241,GREEN BAY,44.5299412,-88.02483170000001,49693.70000000002
242,WICHITA FALLS,33.913708500000006,-98.49338730000001,42867.49999999999
243,BURBANK,34.181648200000005,-118.3258554,27041.299999999985
244,ROUND ROCK,30.5725805,-97.64840733,49967.69999999997
245,ANTIOCH,38.0049214,-121.80578899999999,76671.6
246,EVERETT,47.9673056,-122.20139979999999,42632.69999999998
247,PALM BAY,28.0331886,-80.64296949999999,9809.6
248,TEMECULA,33.4946353,-117.14736609999999,19061.4
249,DALY CITY,37.688432,-122.4606865,13221.500000000002
250,CENTENNIAL,39.5680644,-104.9778307,14215.299999999996
251,POMPANO BEACH,26.2378597,-80.1247667,21246.7
252,RICHARDSON,32.9481789,-96.7297206,28649.399999999994
253,ERIE,42.129461,-80.085239,77329.10000000005
254,WEST PALM BEACH,26.7153425,-80.0533746,45971.7
255,SOUTH BEND,41.68338129999999,-86.2500066,45699.00000000002
256,BOULDER,40.0149856,-105.2705456,19009.0
257,EL CAJON,32.7947731,-116.96252690000001,12013.9
258,DAVENPORT,41.5236436,-90.57763680000001,42664.5
259,BROKEN ARROW,36.0525993,-95.7908195,19972.5
260,LAS CRUCES,32.3140354,-106.7798078,24280.499999999985
261,NORTH CHARLESTON,32.8546197,-79.9748103,24887.7
262,KENOSHA,42.584677299999996,-87.82122629999999,20822.300000000007
263,LAKELAND,28.039465399999997,-81.9498042,81387.40000000001
264,SAN MATEO,37.496904,-122.33305729999998,8811.0
265,TYLER,32.351260100000005,-95.3010624,112400.60000000012
266,LAWTON,34.6086854,-98.3903305,27661.3
267,ALBANY,42.6511674,-73.754968,115672.69999999998
268,LEWISVILLE,33.046233,-96.994174,13933.900000000005
269,CLOVIS,34.405471999999996,-103.20507090000001,23791.4
270,DEARBORN,42.3222599,-83.1763145,71596.69999999997
271,SANDY SPRINGS,33.92426879999999,-84.37853790000001,3707.800000000001
272,ROANOKE,37.270973,-79.94143129999999,75432.0
274,LIVONIA,42.36837,-83.3527097,67889.49999999996
275,COLLEGE STATION,30.626261600000003,-96.33472490000001,16268.8
276,VISTA,33.2000368,-117.2425355,19111.2
277,SOUTH GATE,33.9463456,-118.200981,2578.9000000000005
278,NEW BEDFORD,41.6362152,-70.934205,12618.999999999998
279,SAN ANGELO,31.4319925,-100.4545797,26334.8
280,GREELEY,40.42331420000001,-104.7091322,21046.0
281,DAVIE,26.075729,-80.28410878,3378.9
282,MISSION VIEJO,33.5965685,-117.659405,17695.3
283,YUMA,32.665167,-114.47590490000002,30466.3
284,BROCKTON,42.083433500000005,-71.0183787,29191.1
285,HILLSBORO,45.5228939,-122.989827,37348.1
286,RENTON,47.4799078,-122.2034496,29346.00000000001
287,VACAVILLE,38.3760441,-121.9954703,15840.1
288,PEARLAND,29.5639758,-95.28642990000002,11475.6
289,YAKIMA,46.601557,-120.51084209999999,42934.10000000004
290,QUINCY,39.9356016,-91.40987270000001,38828.89999999998
291,CARSON,33.832204299999994,-118.2517547,5750.0
292,LEE'S SUMMIT,38.9108408,-94.3821724,248.0
293,TUSCALOOSA,33.2668398,-87.4862182,56890.900000000016
294,HESPERIA,34.4263886,-117.3008784,6122.0
295,BEAVERTON,45.4871723,-122.8037804,16365.699999999995
296,ROSWELL,33.3942655,-104.52302420000001,32786.9
297,SPARKS,39.5348431,-119.7527683,14645.9
298,LYNN,42.466763,-70.94949390000001,10391.8
299,SANTA MONICA,34.0195598,-118.48697390000001,26258.89999999999
300,FEDERAL WAY,47.313494,-122.3393103,26899.89999999999
301,SPOKANE VALLEY,47.6732281,-117.2393748,24215.5
302,MIAMI BEACH,25.7881436,-80.1272705,13846.5
303,REDDING,40.5863563,-122.3916754,64947.2
304,OREM,40.2975185,-111.6944685,11567.1
305,RIO RANCHO,35.233375,-106.6644716,14232.200000000004
306,LAWRENCE,38.9719384,-95.2359496,36000.39999999999
307,WAUKEGAN,42.3636331,-87.84479379999999,3709.9
308,SANTA BARBARA,34.4098107,-119.6970239,36867.899999999965
309,FALL RIVER,43.2264954,-103.5791473,48053.80000000002
310,SANDY,40.572851,-111.83344950000001,22735.000000000004
311,ALLEN,37.888216799999995,-95.3170208,14692.1
312,LONGMONT,40.1672117,-105.1019287,21513.000000000004
313,FORT SMITH,35.3872218,-94.4248983,63950.99999999999
314,PLANTATION,26.1265258,-80.25786104,31602.399999999994
315,NORWALK,41.1175966,-73.4078968,20881.5
316,CHICO,39.728494500000004,-121.8374777,45538.49999999998
317,NASHUA,42.7653662,-71.467566,18101.3
318,BOCA RATON,26.3586885,-80.08309840000001,55448.599999999984
319,SUNRISE,26.148244899999998,-80.32888574,18193.3
320,LEAGUE CITY,29.5074538,-95.0949303,4656.9000000000015
321,DULUTH,46.77293220000001,-92.1251218,54332.70000000001
322,GREENVILLE,34.851354,-82.3984882,256646.99999999985
323,NEWPORT BEACH,33.6170092,-117.92944009999998,30907.399999999994
324,SAN LEANDRO,37.7249296,-122.1560768,24093.1
325,NEWTON,42.3370414,-71.2092214,29295.699999999986
326,WHITTIER,33.974893200000004,-118.0336975,26188.999999999985
327,HAWTHORNE,33.9113109,-118.34779420000001,10780.8
328,SAN MARCOS,29.882643599999998,-97.9405828,15516.800000000005
329,DELTONA,28.9005446,-81.2636738,6092.299999999997
330,ASHEVILLE,35.600949799999995,-82.5540161,113175.30000000012
331,TRENTON,40.2170575,-74.7429463,31816.399999999994
332,CICERO,41.8455878,-87.7539448,5017.7
333,TRACY,37.718829,-121.4342842,17042.000000000004
334,CITRUS HEIGHTS,38.7071247,-121.2810611,6286.699999999999
335,BLOOMINGTON,39.1670396,-86.5342881,83514.2
336,WESTLAND,42.32380560000001,-83.4005321,17110.1
337,OGDEN,41.2230048,-111.9738429,33279.599999999984
338,SIOUX CITY,42.4966815,-96.4058782,14758.400000000005
339,EDMOND,35.6571367,-97.46490379999999,50426.19999999999
340,NAMPA,43.573736100000005,-116.559642,20724.6
341,LIVERMORE,37.6820583,-121.76805309999999,7027.7
342,DANBURY,41.394816999999996,-73.45401109999999,25318.399999999994
343,KIRKLAND,47.6859573,-122.1920249,22829.899999999994
344,CHAMPAIGN,40.116420500000004,-88.2433829,19232.0
345,HOOVER,33.392206,-86.78045321,33119.200000000004
346,BLOOMINGTON,39.1670396,-86.5342881,83514.2
347,BUENA PARK,33.870413,-117.9962165,2013.7
348,CARMEL,39.978371100000004,-86.1180435,29263.499999999996
349,TROY,42.6055893,-83.1499304,88591.99999999999
350,BELLINGHAM,48.754402,-122.4788602,41924.80000000002
351,INDIO,33.71928079999999,-116.2188054,11682.500000000002
352,O'FALLON,38.5922715,-89.91121240000001,3450.4
353,LONGVIEW,32.5007038,-94.74048909999999,88659.30000000002
354,CONCORD,43.207106,-71.53702159999999,74715.70000000003
355,LAKEWOOD,39.6246085,-105.0842039,84929.40000000001
356,CRANSTON,41.7809588,-71.4371257,19350.8
357,SUGAR LAND,29.6196787,-95.6349463,30251.800000000007
358,HEMET,33.778562,-117.03576650000001,48093.8
359,FARMINGTON HILLS,42.4853125,-83.3771553,21137.7
360,HAMMOND,41.5833658,-87.500043,38292.0
361,FISHERS,39.9555928,-86.01387290000001,16327.800000000005
362,MENIFEE,37.935760200000004,-83.6014187,3125.5999999999995
363,MERCED,37.3029568,-120.48432690000001,32974.999999999985
364,MISSION,26.2159066,-98.3252932,21617.8
365,GARY,41.6021292,-87.3371372,10719.5
366,CHINO,34.013356099999996,-117.690075,10988.2
367,JOHNS CREEK,34.0181557,-84.190196,6474.8
368,RACINE,42.7261309,-87.78285229999999,14269.5
369,LAKE FOREST,42.2586342,-87.840625,6720.700000000002
370,REDWOOD CITY,37.4852152,-122.2363548,15752.4
371,LARGO,27.909466499999997,-82.7873244,44205.599999999984
372,MERIDIAN,32.376096000000004,-88.68978607,94572.90000000002
373,NAPA,38.2891775,-122.29370630000001,23256.10000000001
374,ALBANY,42.6511674,-73.754968,115672.69999999998
375,NEW ROCHELLE,40.9115386,-73.78263630000001,7091.7
376,BEND,44.058172799999994,-121.31530959999999,39943.099999999984
377,CAMDEN,30.9298212,-81.6225075,62612.40000000001
378,BRYAN,30.693444,-96.40080172,21432.3
379,BELLFLOWER,33.8825705,-118.1167679,27134.7
380,BLOOMINGTON,39.1670396,-86.5342881,83514.2
381,ST. JOSEPH,39.7686055,-94.8466322,2696.0
382,LAWRENCE,38.9719384,-95.2359496,36000.39999999999
383,AVONDALE,33.4359175,-112.3405021,10055.8
384,BROOKLYN PARK,45.100480700000006,-93.3443585,4093.3
385,LYNCHBURG,37.40088,-79.18449229,42522.39999999998
386,SOMERVILLE,42.3875968,-71.0994968,14641.799999999996
387,DEERFIELD BEACH,26.318341999999998,-80.0996306,7288.699999999999
388,PALM COAST,29.5541432,-81.22076729999999,27348.19999999999
389,TUSTIN,33.7458511,-117.82616599999999,7166.800000000002
390,SCRANTON,41.4086874,-75.66212940000001,47843.89999999999
391,BALDWIN PARK,34.08033185,-117.96621370000001,19663.9
392,DECATUR,39.8628075,-88.89387182,137209.50000000015
393,CHINO HILLS,33.992680299999996,-117.760056,4241.3
394,MEDFORD,42.326418100000005,-122.8718605,73096.10000000003
395,FAYETTEVILLE,36.111508,-94.20986672,168539.6000000001
396,KENNEWICK,46.2112458,-119.1372338,29642.5
398,MOUNTAIN VIEW,37.3855745,-122.08205,21609.099999999995
399,BETHLEHEM,40.6178915,-75.3786521,48492.99999999999
400,EVANSTON,42.0447388,-87.6930459,18013.999999999996
401,ALAMEDA,37.6090291,-121.899142,7080.799999999998
402,KALAMAZOO,42.291707,-85.5872286,66081.8
403,UPLAND,34.09751,-117.64838759999999,25651.09999999999
404,ST. GEORGE,37.104153000000004,-113.58413130000001,1531.9
406,SAN RAMON,37.7799273,-121.9780153,8757.900000000001
408,APPLETON,44.26113370000001,-88.40676040000001,29522.500000000004
409,FOLSOM,38.6779591,-121.17605829999998,27051.9
410,WYOMING,43.1700264,-107.5685348,16222.499999999998
411,LAKE CHARLES,30.226594899999995,-93.21737590000001,54098.09999999999
412,SPRINGDALE,36.18674420000001,-94.1288142,22145.0
413,SOUTHFIELD,42.473368900000004,-83.2218731,99854.30000000002
414,PHARR,26.1572415,-98.19134333,4988.9000000000015
415,GASTONIA,35.262082,-81.1873005,49282.9
416,AUBURN,32.597826500000004,-85.56335486,71750.70000000003
417,ROCHESTER HILLS,42.6583661,-83.14993220000001,23796.0
418,PLEASANTON,37.6624312,-121.8746789,24638.0
419,PAWTUCKET,41.878710999999996,-71.38255579999999,16166.3
420,WILMINGTON,39.7459468,-75.546589,177563.30000000028
421,WARNER ROBINS,32.598313,-83.62567691,32981.099999999984
422,WAUKESHA,43.0116784,-88.2314813,19259.2
423,UNION CITY,37.5963232,-122.08162970000001,43213.999999999985
424,PERRIS,33.7825194,-117.22864779999999,1435.9
425,MUNCIE,40.1936683,-85.3865114,52933.69999999999
426,PASSAIC,40.8567663,-74.12847640000001,1726.3
427,APPLE VALLEY,44.7319094,-93.21772,42295.89999999998
428,LYNWOOD,33.930322499999996,-118.2114933,7605.200000000002
429,LAFAYETTE,30.2240897,-92.0198427,182361.8000000002
430,REDLANDS,34.072662,-117.0934169,22132.9
431,MOUNT PLEASANT,32.794065100000005,-79.86258509999999,20087.1
432,MANTECA,37.7986184,-121.21171480000001,13360.6
433,TURLOCK,37.494656799999994,-120.84659409999999,24099.999999999996
434,IOWA CITY,41.661256099999996,-91.5299106,21565.39999999999
435,LOVELAND,40.397761200000005,-105.0749801,27138.099999999995
436,JONESBORO,35.8428646,-90.7034522,74868.09999999999
437,BOYNTON BEACH,26.525349100000003,-80.0664309,44172.49999999999
438,GULFPORT,30.367419800000004,-89.0928155,42690.3
439,SANTA FE,35.68699960000001,-105.9377997,36369.29999999998
440,RAPID CITY,44.0811755,-103.22800600000001,26256.299999999992
441,WATERLOO,43.4655524,-80.52177859999999,31219.999999999985
442,LAUDERHILL,26.1403635,-80.2133808,1465.9
443,LAYTON,41.060288799999995,-111.96614950000001,20891.9
444,JACKSONVILLE,30.3321838,-81.655651,372875.19999999966
445,MISSOURI CITY,29.6330685,-95.5375482,1913.6
446,MOUNT VERNON,38.317271500000004,-88.9031201,62496.3
447,UNION CITY,37.5963232,-122.08162970000001,43213.999999999985
448,MISSOULA,46.879583000000004,-113.92145900000001,26414.99999999999
449,TEMPLE,31.098207000000002,-97.34278470000001,41892.10000000001
450,ROCK HILL,34.9248667,-81.02507840000001,32269.300000000007
451,GOODYEAR,33.353365999999994,-112.41385670000001,16753.199999999993
452,REDONDO BEACH,33.8455911,-118.38867659999998,7000.3
453,MILPITAS,37.4282724,-121.90662379999999,4952.1
454,KENNER,29.9942265,-90.2417806,24815.9
455,JACKSON,32.29903839999999,-90.1847691,253468.3000000001
456,EAU CLAIRE,44.811349,-91.4984941,30785.199999999986
457,DOTHAN,31.158521999999998,-85.4269662,76226.70000000001
459,ST. CHARLES,41.9141984,-88.30869770000001,2109.6
460,PORTLAND,45.5202471,-122.6741949,261050.8
461,OSHKOSH,44.0206919,-88.54085740000001,18911.300000000007
